0.000000,0.000000.1,0.000000.2,0.000000.3,430.243661,0.000000.4,0.000000.5,0.000000.6,0.000000.7,0.000000.8,0.200627
0.009744185476979307,0.011978,0.0,0.0,430.171766,0.0,0.0,0.0,0.0,0.0,0.200627
0.018872143280942045,1.44635,2.6e-05,0.0,430.144209,6.3e-05,9.7e-05,4e-06,0.0,5.2e-05,0.194079
0.027541687815953435,0.792885,0.000526,0.0,430.21072,0.000557,0.000328,1.6e-05,2e-06,0.000131,0.194079
0.03615931072884813,0.325926,0.00111,0.0,430.160392,0.000829,0.000223,0.000238,0.000179,7.8e-05,0.195737
0.044662159529695385,0.093621,0.000228,0.0,430.098164,0.000424,9.5e-05,0.000271,0.000101,1.4e-05,0.195737
0.054124191981224756,0.018528,0.003193,0.0,430.026386,0.002574,0.001028,2.1e-05,2e-05,0.000358,0.196821
0.0637454051952961,0.023849,0.009577,0.0,429.951947,0.011204,0.005857,0.000613,0.000663,0.002328,0.196821
0.07445492293610291,0.060421,0.01876,0.0,429.862349,0.027297,0.016778,0.002664,0.002303,0.007167,0.196887
0.0855613678144071,0.103671,0.028135,0.0,429.732193,0.046031,0.033533,0.00596,0.004832,0.015745,0.196887
0.09475832672144598,0.121088,0.035564,0.0,429.641037,0.060205,0.054163,0.009138,0.006964,0.026642,0.196267
0.1036403399995928,0.111159,0.03785,0.0,429.546071,0.064051,0.074702,0.010756,0.007938,0.038172,0.196267
0.11474336898170508,0.076909,0.0336,0.0,429.449689,0.055906,0.090687,0.010575,0.007438,0.047725,0.19576
0.12393417927559856,0.037538,0.025907,0.0,429.365771,0.042695,0.10225,0.008446,0.005686,0.053673,0.19576
0.1344845162538634,0.01495,0.016638,0.0,429.285417,0.034443,0.10748,0.005019,0.003473,0.055209,0.194727
0.14299488002633282,0.013855,0.0098,0.0,429.213161,0.033577,0.109983,0.002204,0.001744,0.05422,0.194727
0.15143077726181906,0.014616,0.005905,0.0,429.129542,0.041477,0.117164,0.001067,0.000799,0.054595,0.195452
0.1599035661761777,0.014019,0.003674,0.0,429.053624,0.046711,0.118487,0.000999,0.00059,0.052679,0.195452
0.16835244381719316,0.01423,0.00384,0.0,428.97718,0.044346,0.112955,0.001627,0.001029,0.050441,0.195074
0.17674120168523136,0.016954,0.00359,0.0,428.894778,0.043002,0.119446,0.001786,0.001212,0.051675,0.195074
0.18507803793115288,0.013861,0.004901,0.0,428.853548,0.043213,0.122747,0.001713,0.001446,0.050237,0.195346
0.19339711151687655,0.014276,0.007289,0.0,428.78061,0.042104,0.127909,0.001698,0.001386,0.049863,0.195346
0.20184393962017685,0.016609,0.010709,0.0,428.696627,0.040216,0.132271,0.001671,0.00143,0.050143,0.195789
0.21003457550908558,0.013144,0.014905,0.0,428.619346,0.037926,0.129601,0.001324,0.001358,0.049851,0.195789
0.21856816737565982,0.013676,0.01816,0.0,428.553647,0.036635,0.129668,0.001183,0.001224,0.051039,0.196028
0.22720286976951395,0.014787,0.020883,0.0,428.440369,0.035852,0.131458,0.000841,0.001131,0.051802,0.196028
0.23591818731349665,0.03174,0.021502,0.0,428.371458,0.03559,0.13558,0.000569,0.001055,0.05196,0.196332
0.2442987470306743,0.013069,0.017386,0.0,428.306565,0.039548,0.140502,0.000431,0.000928,0.051887,0.196332
0.2528173089540042,0.035522,0.014242,0.0,428.234482,0.03759,0.131011,0.000417,0.000776,0.051738,0.19627
0.2611978686711819,0.027803,0.012542,0.0,428.155753,0.035811,0.125783,0.00039,0.000711,0.051555,0.19627
0.26965972671772653,0.01334,0.013026,0.0,428.072313,0.033111,0.11212,0.000465,0.000785,0.051497,0.196314
0.27802457331242153,0.013727,0.014188,0.0,428.004547,0.032228,0.093521,0.000508,0.000727,0.051134,0.196314
0.2876806286676501,0.011155,0.015885,0.0,427.933259,0.033702,0.079274,0.00057,0.000624,0.050188,0.19646
0.2982015889386647,0.022413,0.015677,0.0,427.844906,0.038237,0.068399,0.000696,0.000519,0.050424,0.19646
0.3092103391858809,0.012056,0.015588,0.0,427.759967,0.042258,0.06171,0.000769,0.000504,0.050964,0.196473
0.31774256469397844,0.010858,0.014261,0.0,427.677617,0.045686,0.056613,0.000692,0.00038,0.050921,0.196473
0.3264940907375951,0.00818,0.012567,0.0,427.637908,0.048093,0.057345,0.0007,0.000652,0.051137,0.196534
0.33551547258037095,0.007759,0.010262,0.0,427.564842,0.050384,0.066183,0.000826,0.002384,0.051681,0.196534
0.3443756241228897,0.012888,0.007863,0.0,427.482981,0.053214,0.069394,0.000811,0.005749,0.05176,0.196555
0.3530116928752206,0.008234,0.00477,0.0,427.405051,0.055259,0.069603,0.001057,0.009468,0.050515,0.196555
