Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
0.000000 0.000000 0.000000 0.000000 585.945925 0.000000 0.000000 0.000000 0.000000 0.000000 0.258001
0.014374 0.012627 0.000000 0.000000 585.910189 0.000000 0.000000 0.000000 0.000000 0.000000 0.258001
0.028702 0.115760 0.000018 0.000000 585.954608 0.000053 0.000227 0.000001 0.000000 0.000100 0.040563
0.041294 0.067491 0.000063 0.000000 586.150655 0.000146 0.000147 0.000236 0.000061 0.000440 0.040563
0.054843 0.052658 0.000050 0.000000 586.021852 0.000126 0.000419 0.000934 0.000522 0.000118 0.040541
0.067840 0.019910 0.000006 0.000000 585.895216 0.000008 0.000097 0.000245 0.000003 0.000178 0.040541
0.080146 0.030053 0.000300 0.000000 586.034068 0.000393 0.001463 0.002578 0.000709 0.001619 0.040687
0.096469 0.012522 0.001490 0.000000 586.011503 0.002234 0.005609 0.005775 0.001940 0.005632 0.040687
0.112615 0.016655 0.003943 0.000000 585.990423 0.007033 0.015173 0.008113 0.004098 0.013667 0.040581
0.130776 0.027388 0.007645 0.000000 585.950079 0.015398 0.034226 0.008469 0.005375 0.025600 0.040581
0.149696 0.016706 0.012016 0.000000 585.926470 0.027549 0.058838 0.006869 0.004415 0.041046 0.040542
0.167367 0.023022 0.015769 0.000000 585.884565 0.041349 0.103775 0.004317 0.002903 0.057536 0.040542
0.184237 0.015955 0.017968 0.000000 585.789390 0.054414 0.126026 0.002243 0.003072 0.071747 0.040687
0.199274 0.015470 0.018538 0.000000 585.687221 0.064003 0.137215 0.001596 0.002376 0.081136 0.040687
0.212196 0.015185 0.017676 0.000000 585.671413 0.067308 0.128562 0.002391 0.001184 0.084700 0.040854
0.224667 0.017717 0.016483 0.000000 585.758937 0.066166 0.108600 0.003109 0.000473 0.085036 0.040854
0.237286 0.018060 0.016297 0.000000 585.797245 0.065700 0.090929 0.002309 0.000323 0.087944 0.040963
0.249871 0.014221 0.016846 0.000000 585.788551 0.061516 0.067061 0.000194 0.000116 0.087974 0.040963
0.263978 0.010556 0.018047 0.000000 585.699348 0.056549 0.060905 0.000313 0.000049 0.087072 0.041378
0.276007 0.009464 0.019512 0.000000 585.607345 0.050988 0.047039 0.000082 0.000642 0.084869 0.041378
0.288406 0.024187 0.020636 0.000000 585.606437 0.044633 0.041876 0.000156 0.001338 0.084090 0.041780
0.300660 0.011357 0.021655 0.000000 585.596868 0.035255 0.043637 0.000230 0.002070 0.084827 0.041780
0.313358 0.009618 0.021903 0.000000 585.585555 0.026326 0.043474 0.000227 0.001951 0.081527 0.042219
0.329856 0.014482 0.021520 0.000000 585.582797 0.020637 0.039580 0.000156 0.000747 0.077560 0.042219
0.343496 0.012670 0.020340 0.000000 585.580064 0.019354 0.046649 0.000090 0.000254 0.070606 0.042795
0.356662 0.011457 0.018620 0.000000 585.584962 0.021557 0.040548 0.000044 0.000496 0.063121 0.042795
0.371991 0.009213 0.016821 0.000000 585.585446 0.028743 0.045547 0.000019 0.000061 0.055952 0.043324
0.385355 0.009036 0.015038 0.000000 585.580877 0.042503 0.045821 0.000017 0.000019 0.050648 0.043324
0.398483 0.007069 0.013561 0.000000 585.546672 0.060451 0.034944 0.000004 0.000051 0.047511 0.043730
0.411056 0.005116 0.011918 0.000000 585.546112 0.080799 0.025718 0.000037 0.000074 0.047225 0.043730
0.424153 0.010842 0.011233 0.000000 585.538238 0.108192 0.017521 0.000098 0.000162 0.048229 0.044048
0.436707 0.010219 0.010580 0.000000 585.546471 0.138782 0.009808 0.000167 0.000274 0.048227 0.044048
0.449892 0.007582 0.010183 0.000000 585.548085 0.151406 0.004317 0.000190 0.000316 0.047056 0.044329
