0.000000,0.000000,0.000000,0.000000,417.521250,0.000000,0.000000,0.000000,0.000000,0.000000,0.035568
0.015993,0.263908,0.000000,0.000000,417.443845,0.000000,0.000000,0.000000,0.000000,0.000000,0.035568
0.030369,0.260064,0.001119,0.000000,417.448940,0.009099,0.006499,0.000008,0.000009,0.000581,0.036587
0.043534,0.258095,0.003994,0.000000,417.369070,0.022999,0.014315,0.000015,0.000026,0.001688,0.036587
0.057050,0.223248,0.001761,0.000000,417.310725,0.012820,0.009677,0.000040,0.000100,0.001046,0.036271
0.070963,0.219423,0.000981,0.000000,417.252943,0.003403,0.001053,0.000085,0.000045,0.000241,0.036271
0.083488,0.215376,0.021204,0.000000,417.209724,0.123348,0.073557,0.000126,0.000218,0.008972,0.035540
0.096225,0.215911,0.083349,0.000000,417.161434,0.549201,0.370457,0.000149,0.001324,0.039068,0.035540
0.111993,0.205719,0.196983,0.000000,417.137395,1.403363,1.000273,0.000223,0.003545,0.099205,0.034764
0.125358,0.193780,0.348560,0.000000,417.110186,2.650564,1.952960,0.000457,0.006394,0.186176,0.034764
0.138076,0.203763,0.501772,0.000000,417.071524,4.081069,3.092607,0.000720,0.008606,0.284060,0.033988
0.151603,0.188344,0.617683,0.000000,417.057363,5.365118,4.163753,0.001053,0.009365,0.368357,0.033988
0.171296,0.184115,0.665856,0.000000,417.042586,6.178994,4.900201,0.001233,0.008756,0.419699,0.033416
0.190663,0.172410,0.647668,0.000000,417.034175,6.410299,5.141431,0.001314,0.007211,0.424732,0.033416
0.210559,0.174654,0.582976,0.000000,417.033166,6.135691,4.957723,0.001586,0.004953,0.390168,0.032904
0.228565,0.162926,0.518490,0.000000,417.035907,5.731399,4.659743,0.002243,0.003272,0.341193,0.032904
0.245227,0.159217,0.517282,0.000000,417.035258,5.695282,4.654767,0.003218,0.002664,0.317959,0.032595
0.263639,0.155395,0.527012,0.000000,417.042006,5.591965,4.597370,0.003714,0.002993,0.293158,0.032595
0.280701,0.142723,0.518044,0.000000,417.053259,5.446715,4.669743,0.003117,0.004026,0.265794,0.032521
0.298134,0.140498,0.501269,0.000000,417.075800,5.225134,4.718127,0.002865,0.004425,0.235288,0.032521
0.316293,0.177205,0.477534,0.000000,417.089655,4.939333,4.765015,0.002860,0.003936,0.207674,0.032675
0.331136,0.144176,0.445763,0.000000,417.126536,4.586391,4.769713,0.003223,0.003381,0.186109,0.032675
0.344050,0.119073,0.406426,0.000000,417.156519,4.180171,4.759976,0.003094,0.002715,0.169598,0.032605
0.356539,0.120839,0.368162,0.000000,417.201735,3.732477,4.702512,0.002805,0.002083,0.160509,0.032605
0.369561,0.108907,0.333422,0.000000,417.234223,3.277222,4.601278,0.002149,0.001828,0.155579,0.032490
0.382168,0.139304,0.303992,0.000000,417.272105,2.837428,4.453268,0.001545,0.001552,0.155055,0.032490
0.395379,0.096747,0.278458,0.000000,417.310249,2.428068,4.256257,0.001449,0.001535,0.155547,0.032510
0.408055,0.091055,0.257120,0.000000,417.358533,2.051073,4.060433,0.001781,0.001537,0.157913,0.032510
0.420865,0.084008,0.242491,0.000000,417.395307,1.722402,3.866863,0.002255,0.001914,0.162105,0.032536
0.434179,0.072849,0.231673,0.000000,417.439794,1.420585,3.632006,0.002560,0.002103,0.167467,0.032536
0.447193,0.062830,0.223206,0.000000,417.477760,1.180251,3.411453,0.002550,0.001704,0.172196,0.032567
0.459475,0.054200,0.217190,0.000000,417.517139,0.960878,3.161054,0.002272,0.001040,0.178403,0.032567
0.471834,0.049378,0.208980,0.000000,417.559559,0.776889,2.906914,0.001962,0.000598,0.183281,0.032726
0.484068,0.048488,0.204994,0.000000,417.602382,0.617243,2.667451,0.001636,0.000284,0.188876,0.032726
0.498239,0.047166,0.202783,0.000000,417.641312,0.477770,2.433478,0.001471,0.000080,0.194177,0.032720
0.510763,0.039999,0.198835,0.000000,417.680782,0.359754,2.188013,0.001370,0.000015,0.197540,0.032720
