Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
0.000000 0.000000 0.000000 0.000000 586.250830 0.000000 0.000000 0.000000 0.000000 0.000000 0.273296
0.014421 0.003634 0.000000 0.000000 586.282100 0.000000 0.000000 0.000000 0.000000 0.000000 0.273296
0.030552 2.020307 0.000001 0.000000 586.560117 0.000053 0.000025 0.000001 0.000000 0.000011 0.087429
0.044784 0.037383 0.000008 0.000000 586.363188 0.000267 0.000296 0.000001 0.000000 0.000161 0.087429
0.058585 0.036953 0.000027 0.000000 586.428208 0.000047 0.001966 0.000218 0.000111 0.000015 0.088006
0.072204 0.004264 0.000011 0.000000 586.358258 0.000090 0.000024 0.000089 0.000008 0.000102 0.088006
0.091428 0.003763 0.000040 0.000000 586.582738 0.000928 0.003929 0.000444 0.000131 0.000443 0.088403
0.110020 0.003615 0.000311 0.000000 586.269294 0.003018 0.015279 0.000572 0.000232 0.001071 0.088403
0.128764 0.003025 0.000849 0.000000 586.578981 0.006539 0.031329 0.000507 0.000276 0.001880 0.088439
0.147120 0.002992 0.001617 0.000000 586.384716 0.011093 0.043866 0.000545 0.000241 0.002837 0.088439
0.165827 0.004316 0.002408 0.000000 586.568094 0.016731 0.047123 0.000881 0.000144 0.003762 0.088414
0.184250 0.003211 0.002992 0.000000 586.371545 0.023420 0.040703 0.001424 0.000143 0.004650 0.088414
0.201598 0.002226 0.003186 0.000000 586.571744 0.031036 0.027836 0.002197 0.000147 0.005487 0.088212
0.215236 0.002811 0.003109 0.000000 586.401166 0.038814 0.014508 0.002235 0.000237 0.005929 0.088212
0.228637 0.003111 0.002795 0.000000 586.583384 0.044758 0.005330 0.001555 0.000305 0.005938 0.088093
0.241033 0.002550 0.002568 0.000000 586.396157 0.047542 0.002253 0.000986 0.000257 0.005517 0.088093
0.253856 0.002003 0.002568 0.000000 586.586194 0.045617 0.002673 0.000592 0.000204 0.004426 0.087994
0.267224 0.002748 0.002803 0.000000 586.370570 0.034735 0.004126 0.000457 0.000133 0.002817 0.087994
0.280196 0.002732 0.003721 0.000000 586.589837 0.023636 0.008413 0.000779 0.000453 0.003503 0.087919
0.292758 0.002873 0.004461 0.000000 586.404771 0.015095 0.009239 0.000116 0.001357 0.003784 0.087919
0.306016 0.002074 0.005041 0.000000 586.592978 0.009416 0.010050 0.000247 0.001920 0.003946 0.087927
0.318602 0.001693 0.005759 0.000000 586.404857 0.007481 0.009441 0.000431 0.001600 0.004111 0.087927
0.332984 0.003822 0.006510 0.000000 586.586941 0.008211 0.006948 0.000603 0.000861 0.004352 0.087932
0.346788 0.002339 0.006781 0.000000 586.395654 0.010395 0.005983 0.000478 0.000207 0.004471 0.087932
0.360962 0.002134 0.006907 0.000000 586.584389 0.011813 0.005968 0.000264 0.000065 0.004564 0.088047
0.373518 0.001904 0.006791 0.000000 586.391321 0.012801 0.006670 0.000051 0.000462 0.004491 0.088047
0.386392 0.002867 0.006577 0.000000 586.576981 0.012687 0.008584 0.000204 0.000981 0.004567 0.088080
0.399293 0.001776 0.006232 0.000000 586.384849 0.012065 0.010931 0.000328 0.001176 0.004751 0.088080
0.413052 0.002572 0.006022 0.000000 586.567899 0.011223 0.013328 0.000176 0.000714 0.004902 0.088220
0.425794 0.002019 0.005555 0.000000 586.375763 0.010056 0.014846 0.000121 0.000110 0.005055 0.088220
0.438552 0.002193 0.005317 0.000000 586.556532 0.009262 0.016041 0.000064 0.000060 0.005455 0.088240
0.451020 0.003390 0.005292 0.000000 586.363201 0.008701 0.015771 0.000078 0.000202 0.005698 0.088240
0.464133 0.003626 0.005073 0.000000 586.544032 0.008150 0.014922 0.000060 0.000222 0.005782 0.088319
0.476540 0.002781 0.005399 0.000000 586.356175 0.008286 0.013120 0.000042 0.000062 0.005854 0.088319
0.489222 0.002963 0.005931 0.000000 586.534643 0.008455 0.011926 0.000045 0.000051 0.006312 0.088337
0.501510 0.003534 0.006023 0.000000 586.347516 0.008367 0.011039 0.000047 0.000040 0.006821 0.088337
0.513944 0.003279 0.006004 0.000000 586.527780 0.007955 0.010533 0.000044 0.000032 0.007621 0.088329
0.526236 0.004298 0.006388 0.000000 586.341719 0.006931 0.010335 0.000055 0.000040 0.008706 0.088329
0.538868 0.003656 0.006511 0.000000 586.520297 0.005978 0.010129 0.000057 0.000042 0.010147 0.088410
0.551420 0.003819 0.006461 0.000000 586.339712 0.005327 0.009953 0.000053 0.000031 0.011885 0.088410
0.564165 0.003610 0.006346 0.000000 586.515232 0.005245 0.009053 0.000028 0.000038 0.013520 0.088313
0.576758 0.005015 0.005875 0.000000 586.329760 0.005295 0.008005 0.000036 0.000022 0.015402 0.088313
0.589338 0.004860 0.005438 0.000000 586.512231 0.004964 0.007254 0.000026 0.000018 0.017132 0.088340
0.601682 0.004240 0.004728 0.000000 586.329628 0.004287 0.006771 0.000012 0.000014 0.018537 0.088340
0.614290 0.004821 0.004104 0.000000 586.509874 0.003271 0.006871 0.000008 0.000006 0.019714 0.088269
0.628260 0.003793 0.003469 0.000000 586.331945 0.002673 0.007634 0.000003 0.000012 0.020842 0.088269
0.641162 0.004099 0.003004 0.000000 586.516606 0.003193 0.008728 0.000005 0.000024 0.022437 0.088240
0.653552 0.004016 0.002445 0.000000 586.339376 0.003309 0.010288 0.000012 0.000037 0.024192 0.088240
