Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
0.000000 0.000000 0.000000 0.000000 570.741414 0.000000 0.000000 0.000000 0.000000 0.000000 0.089099
0.015257 0.003767 0.000000 0.000000 570.707966 0.000000 0.000000 0.000000 0.000000 0.000000 0.089099
0.031350 0.124310 0.000013 0.000000 570.665420 0.000253 0.000003 0.000000 0.000000 0.000011 0.080960
0.045112 0.020843 0.001324 0.000000 570.635091 0.000625 0.000212 0.000001 0.000002 0.000006 0.080960
0.064752 0.006368 0.000633 0.000000 570.584536 0.000434 0.000104 0.000276 0.000151 0.000019 0.080374
0.082925 0.010176 0.000220 0.000000 570.504860 0.000050 0.000568 0.000057 0.000028 0.000048 0.080374
0.105078 0.009301 0.004560 0.000000 570.414972 0.002143 0.003804 0.000111 0.000055 0.000075 0.080298
0.124761 0.009518 0.015124 0.000000 570.324431 0.012915 0.004350 0.001019 0.000456 0.000242 0.080298
0.145267 0.136504 0.028766 0.000000 570.335421 0.044025 0.002974 0.002694 0.001271 0.000626 0.080218
0.163581 0.136638 0.040284 0.000000 570.246951 0.095326 0.009286 0.004166 0.002125 0.001187 0.080218
0.180069 0.013745 0.044955 0.000000 570.187695 0.150845 0.035010 0.004814 0.002666 0.001719 0.080181
0.197166 0.014458 0.041083 0.000000 570.116787 0.211872 0.091154 0.004305 0.002769 0.002182 0.080181
0.211740 0.125824 0.030229 0.000000 570.155769 0.269673 0.182293 0.002846 0.002368 0.002613 0.080182
0.228390 0.013915 0.017514 0.000000 570.164690 0.308078 0.300836 0.001274 0.001581 0.003102 0.080182
0.242481 0.017349 0.007882 0.000000 570.097039 0.341970 0.445258 0.000271 0.000902 0.003648 0.080175
0.255839 0.019821 0.003289 0.000000 570.037027 0.334798 0.539287 0.000030 0.000452 0.004420 0.080175
0.268726 0.020129 0.002510 0.000000 570.001272 0.326580 0.561524 0.000199 0.000360 0.005667 0.079962
0.281469 0.020704 0.002961 0.000000 569.957292 0.305492 0.520696 0.000167 0.000328 0.007898 0.079962
0.294673 0.020577 0.002384 0.000000 569.894132 0.292879 0.495613 0.000054 0.000379 0.011202 0.079854
0.309436 0.023254 0.001640 0.000000 569.861184 0.280659 0.476960 0.000052 0.000325 0.016868 0.079854
0.324267 0.023738 0.001219 0.000000 569.823809 0.263656 0.491391 0.000056 0.000394 0.024647 0.079729
0.339979 0.022732 0.001215 0.000000 569.798601 0.238219 0.481564 0.000065 0.000410 0.033870 0.079729
0.352891 0.024050 0.001636 0.000000 569.770790 0.215162 0.480841 0.000055 0.000389 0.044006 0.079606
0.365553 0.025353 0.002259 0.000000 569.728009 0.190869 0.487101 0.000027 0.000399 0.053902 0.079606
0.380142 0.025705 0.003003 0.000000 569.709666 0.168141 0.493589 0.000009 0.000313 0.063756 0.079407
0.393750 0.026421 0.003879 0.000000 569.694266 0.131923 0.488730 0.000021 0.000190 0.072994 0.079407
0.412188 0.025941 0.004757 0.000000 569.686219 0.091672 0.472208 0.000022 0.000146 0.081813 0.079263
0.434323 0.028305 0.005754 0.000000 569.683443 0.054971 0.441597 0.000010 0.000135 0.091102 0.079263
0.454525 0.028254 0.006853 0.000000 569.694744 0.019499 0.409193 0.000013 0.000192 0.100549 0.079171
0.471980 0.028935 0.007708 0.000000 569.652531 0.008000 0.410590 0.000020 0.000261 0.109404 0.079171
0.486635 0.029972 0.008774 0.000000 569.655560 0.003057 0.437458 0.000033 0.000318 0.117001 0.079023
0.499959 0.029631 0.010308 0.000000 569.644988 0.003028 0.485602 0.000045 0.000393 0.122033 0.079023
0.513308 0.177932 0.011524 0.000000 569.592988 0.002745 0.548124 0.000054 0.000400 0.124085 0.078859
0.526808 0.026479 0.012531 0.000000 569.591929 0.005312 0.623445 0.000052 0.000434 0.123253 0.078859
0.541294 0.027660 0.013694 0.000000 569.564422 0.011665 0.701418 0.000031 0.000398 0.121111 0.078715
0.554804 0.023985 0.014215 0.000000 569.558320 0.023478 0.789046 0.000027 0.000387 0.118013 0.078715
0.568656 0.022804 0.014659 0.000000 569.569022 0.047129 0.875352 0.000030 0.000289 0.114054 0.078715
0.582374 0.022479 0.015208 0.000000 569.537459 0.074261 0.952302 0.000023 0.000167 0.109612 0.078715
0.595896 0.023425 0.016044 0.000000 569.525974 0.097969 1.015912 0.000011 0.000093 0.103277 0.078792
0.608585 0.027114 0.017455 0.000000 569.520436 0.110314 1.063368 0.000020 0.000051 0.094984 0.078792
0.621822 0.036574 0.019596 0.000000 569.493940 0.111593 1.085499 0.000024 0.000020 0.084145 0.079033
0.634440 0.129219 0.022744 0.000000 569.506003 0.087236 1.086261 0.000038 0.000007 0.071961 0.079033
0.647499 0.194577 0.026546 0.000000 569.427023 0.052522 1.073090 0.000025 0.000002 0.061567 0.079248
0.660710 0.031682 0.030454 0.000000 569.390337 0.028523 1.052291 0.000025 0.000011 0.053185 0.079248
0.673458 0.031142 0.033788 0.000000 569.324289 0.016182 1.024158 0.000019 0.000048 0.047543 0.079389
0.685888 0.044912 0.036469 0.000000 569.285850 0.011428 0.998047 0.000022 0.000103 0.044414 0.079389
0.698687 0.039571 0.038742 0.000000 569.225672 0.016440 0.980131 0.000015 0.000234 0.043303 0.079541
0.711161 0.154146 0.040642 0.000000 569.180844 0.026273 0.969220 0.000019 0.000294 0.043714 0.079541
0.723839 0.048964 0.043752 0.000000 569.103951 0.038984 0.975515 0.000024 0.000346 0.044655 0.079707
0.736286 0.053361 0.047327 0.000000 569.045817 0.055522 0.995632 0.000014 0.000431 0.045243 0.079707
0.748981 0.059595 0.050440 0.000000 568.939382 0.076254 1.038430 0.000005 0.000479 0.044669 0.079863
0.761478 0.063795 0.054198 0.000000 568.864153 0.103615 1.131410 0.000056 0.000505 0.042352 0.079863
0.774116 0.064013 0.058212 0.000000 568.745561 0.144287 1.265285 0.000154 0.000507 0.037935 0.215249
0.786560 0.080724 0.062436 0.000000 568.655142 0.207875 1.457469 0.000300 0.000403 0.032654 0.215249
0.799913 0.081273 0.067117 0.000000 568.542083 0.302604 1.705695 0.000428 0.000356 0.028130 0.215181
0.812412 0.088658 0.069993 0.000000 568.415282 0.407714 1.988150 0.000542 0.000376 0.024873 0.215181
0.825067 0.099120 0.071366 0.000000 568.296216 0.538976 2.290521 0.000636 0.000632 0.022916 0.215101
0.837592 0.134986 0.071618 0.000000 568.157267 0.680059 2.592787 0.000604 0.001050 0.023186 0.215101
0.850244 0.114851 0.071000 0.000000 568.019447 0.806910 2.895661 0.000685 0.001670 0.025123 0.214978
0.863884 0.124282 0.071022 0.000000 567.880644 0.941857 3.223594 0.000859 0.002009 0.028365 0.214978
0.876739 0.167757 0.071837 0.000000 567.711391 1.068897 3.566094 0.001301 0.002366 0.032789 0.214718
0.889317 0.153246 0.073295 0.000000 567.539639 1.175343 3.918065 0.002115 0.002147 0.037438 0.214718
0.902196 0.303853 0.074926 0.000000 567.318391 1.272463 4.294238 0.003116 0.001723 0.041505 0.214533
0.914543 0.210995 0.077512 0.000000 567.110734 1.391471 4.698128 0.003583 0.001293 0.046048 0.214533
0.927265 0.257761 0.081142 0.000000 566.856479 1.565623 5.108544 0.003614 0.000900 0.049936 0.214329
0.939662 0.298542 0.084282 0.000000 566.579772 1.810553 5.481288 0.002831 0.000595 0.054179 0.214329
0.952835 0.359879 0.087557 0.000000 566.291971 2.165552 5.819779 0.001825 0.000408 0.058085 0.214171
0.965970 0.425927 0.090351 0.000000 565.996189 2.668689 6.101816 0.000837 0.000381 0.061460 0.214171
0.978681 0.419313 0.091053 0.000000 565.682371 3.325757 6.338073 0.000206 0.000406 0.063975 0.214299
0.990943 0.509687 0.091170 0.000000 565.324814 4.161745 6.581427 0.000038 0.000440 0.068733 0.214299
1.005216 0.566160 0.091460 0.000000 564.950125 5.222474 6.876152 0.000126 0.000355 0.076330 0.214474
1.019954 0.611818 0.092382 0.000000 564.566881 6.541899 7.292826 0.000128 0.000312 0.086829 0.214474
1.033921 0.647882 0.096094 0.000000 564.154353 8.129178 7.889934 0.000062 0.000211 0.100084 0.214664
1.047167 0.774089 0.101034 0.000000 563.699911 9.949386 8.714044 0.000032 0.000191 0.115345 0.214664
1.065755 0.769759 0.104543 0.000000 563.246407 12.012274 9.792230 0.000093 0.000180 0.131063 0.214943
1.086240 0.777423 0.105909 0.000000 562.786412 14.158346 11.150878 0.000296 0.000204 0.147733 0.214943
