Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
0.000000 0.000000 0.000000 0.000000 588.731530 0.000000 0.000000 0.000000 0.000000 0.000000 0.105217
0.015293 0.011622 0.000000 0.000000 588.723791 0.000000 0.000000 0.000000 0.000000 0.000000 0.105217
0.031320 0.112464 0.000004 0.000000 588.701373 0.000040 0.000036 0.000002 0.000000 0.000118 0.271305
0.047711 0.071889 0.004235 0.000000 588.752628 0.000409 0.000995 0.000001 0.000047 0.000519 0.271305
0.065884 0.051412 0.002092 0.000000 588.881847 0.000329 0.001769 0.000079 0.000128 0.000367 0.271867
0.083694 0.015731 0.000668 0.000000 588.743864 0.000039 0.000464 0.000091 0.000026 0.000151 0.271867
0.102767 0.010999 0.014652 0.000000 588.875745 0.001558 0.006883 0.000300 0.000045 0.002342 0.272216
0.121971 0.012589 0.046830 0.000000 588.792482 0.006994 0.019211 0.000325 0.000108 0.010348 0.272216
0.139473 0.010628 0.086487 0.000000 588.757750 0.017826 0.032189 0.000371 0.000136 0.025827 0.272387
0.158219 0.008096 0.115346 0.000000 588.795415 0.032680 0.040690 0.000306 0.000253 0.047173 0.272387
0.176797 0.008330 0.120866 0.000000 588.781369 0.048352 0.041206 0.000366 0.000356 0.069269 0.095267
0.193699 0.008939 0.099742 0.000000 588.717105 0.060721 0.033000 0.000566 0.000158 0.085775 0.095267
0.210558 0.009092 0.063025 0.000000 588.810906 0.066132 0.019781 0.000813 0.000125 0.091774 0.095032
0.225214 0.007984 0.026367 0.000000 588.804580 0.062723 0.007427 0.001847 0.000133 0.086828 0.095032
0.240837 0.010327 0.004865 0.000000 588.805447 0.052817 0.001006 0.001002 0.000214 0.074180 0.273256
0.255575 0.005215 0.000237 0.000000 588.802814 0.041467 0.000312 0.000376 0.000921 0.060227 0.273256
0.268585 0.009830 0.001068 0.000000 588.793547 0.034737 0.000848 0.000052 0.001084 0.053854 0.094513
0.281073 0.006660 0.001213 0.000000 588.778395 0.031627 0.001029 0.000014 0.000542 0.049042 0.094513
0.293499 0.005823 0.001296 0.000000 588.775593 0.027837 0.003176 0.000035 0.001153 0.047169 0.094292
0.305485 0.005074 0.001512 0.000000 588.787798 0.024524 0.004811 0.000146 0.001494 0.043208 0.094292
0.317994 0.004006 0.001796 0.000000 588.783995 0.022592 0.008969 0.000295 0.002002 0.039248 0.093922
0.330278 0.004205 0.002129 0.000000 588.794895 0.021890 0.014713 0.000277 0.001517 0.035724 0.093922
0.344537 0.005444 0.002419 0.000000 588.792914 0.021711 0.021182 0.000493 0.001664 0.032577 0.093775
