Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
0.000000 0.000000 0.000000 0.000000 416.082893 0.000000 0.000000 0.000000 0.000000 0.000000 0.208650
0.013804 0.548841 0.000000 0.000000 416.005536 0.000000 0.000000 0.000000 0.000000 0.000000 0.208650
0.025980 0.661419 0.001864 0.000000 416.097799 0.001325 0.003085 0.000448 0.000211 0.001464 0.172628
0.038427 0.579840 0.005125 0.000000 416.039146 0.001686 0.009071 0.000850 0.000766 0.004248 0.172628
0.051496 0.396881 0.006876 0.000000 415.997036 0.001823 0.004421 0.000393 0.000156 0.003159 0.173855
0.064712 0.514194 0.001469 0.000000 415.928026 0.000749 0.001218 0.000618 0.000262 0.000662 0.173855
0.078916 0.472207 0.040542 0.000000 415.873405 0.011584 0.043142 0.008318 0.002895 0.024017 0.173569
0.091945 0.479719 0.156915 0.000000 415.802338 0.057528 0.197279 0.027252 0.011819 0.103934 0.173569
0.106012 0.498138 0.359763 0.000000 415.748687 0.163979 0.509541 0.056004 0.030085 0.258387 0.173094
0.120918 0.509824 0.620166 0.000000 415.665566 0.337338 0.980637 0.086280 0.059654 0.475808 0.173094
0.136512 0.498905 0.872169 0.000000 415.604148 0.557986 1.534585 0.104364 0.098890 0.716896 0.172247
0.150328 0.521228 1.095045 0.000000 415.532756 0.777267 2.011174 0.100544 0.139590 0.928765 0.172247
0.163131 0.507327 1.091481 0.000000 415.460322 0.939196 2.308595 0.078718 0.178234 1.056628 0.171284
0.175969 0.721367 0.920249 0.000000 415.430071 1.020265 2.341461 0.053232 0.188172 1.092578 0.171284
0.188590 0.501577 0.697619 0.000000 415.303766 1.011790 2.140720 0.038195 0.168000 1.045961 0.168940
0.203442 0.495766 0.530215 0.000000 415.263058 0.962885 1.756871 0.042855 0.136794 0.988996 0.168940
0.217316 0.497131 0.499021 0.000000 415.184217 0.942125 1.491580 0.056703 0.106593 1.021333 0.168455
0.229887 0.646005 0.544558 0.000000 415.171876 0.899064 1.231829 0.071053 0.077472 1.072501 0.168455
0.242120 0.467598 0.660729 0.000000 415.089342 0.917566 1.003539 0.073153 0.053018 1.133996 0.165870
0.254640 0.448135 0.741526 0.000000 415.012096 0.921667 0.841509 0.071306 0.041148 1.161446 0.165870
0.267338 0.437368 0.889820 0.000000 414.902123 0.943500 0.709441 0.061642 0.037468 1.187214 0.164866
0.279423 0.424402 1.065266 0.000000 414.819688 0.974724 0.596054 0.045150 0.033461 1.203766 0.164866
0.292338 0.425947 1.223746 0.000000 414.714059 1.000107 0.491580 0.032766 0.028037 1.206681 0.163179
0.304481 0.392428 1.346117 0.000000 414.640842 1.031469 0.391854 0.039616 0.022112 1.194158 0.163179
0.317254 0.381957 1.416764 0.000000 414.566760 1.048758 0.304801 0.079715 0.017712 1.173853 0.163943
0.330007 0.379230 1.379557 0.000000 414.488729 1.070331 0.240716 0.163077 0.017578 1.142790 0.163943
0.344338 0.350843 1.383048 0.000000 414.413146 1.091299 0.184817 0.268532 0.020167 1.109439 0.163791
0.357342 0.340311 1.378925 0.000000 414.351882 1.112033 0.130733 0.373666 0.026142 1.067445 0.163791
0.372470 0.327715 1.348419 0.000000 414.296756 1.154886 0.086858 0.451376 0.034925 1.032530 0.164159
0.386222 0.325189 1.303521 0.000000 414.222558 1.228758 0.089483 0.476735 0.042818 0.997778 0.164159
0.399639 0.303456 1.255606 0.000000 414.200809 1.343209 0.098513 0.438892 0.048220 0.964396 0.164935
0.412595 0.314119 1.209857 0.000000 414.217183 1.518857 0.124730 0.360114 0.051180 0.933291 0.164935
0.424890 0.295673 1.171662 0.000000 414.123460 1.747113 0.169707 0.270882 0.053200 0.904074 0.164829
0.437738 0.293977 1.132302 0.000000 414.090172 2.044064 0.229531 0.199083 0.052860 0.876826 0.164829
0.450493 0.267682 1.082772 0.000000 414.068470 2.378360 0.302185 0.159549 0.052360 0.855830 0.166668
0.462766 0.271113 1.036804 0.000000 414.064525 2.784034 0.384825 0.150354 0.058236 0.834847 0.166668
0.475205 0.247487 0.991812 0.000000 414.077650 3.215627 0.470276 0.152199 0.068923 0.812698 0.167730
0.488166 0.244295 0.957504 0.000000 414.074030 3.678105 0.543898 0.151609 0.085235 0.788030 0.167730
0.501286 0.207952 0.914525 0.000000 414.098351 4.117240 0.600224 0.152153 0.103567 0.755001 0.168031
0.513830 0.197950 0.891727 0.000000 414.148629 4.550763 0.648139 0.154256 0.116960 0.713974 0.168031
0.527976 0.191584 0.857695 0.000000 414.187489 4.950931 0.676841 0.178678 0.120074 0.663820 0.168546
0.540422 0.194336 0.815765 0.000000 414.241871 5.284685 0.674378 0.215777 0.115330 0.605217 0.168546
0.553484 0.137007 0.789359 0.000000 414.322205 5.543172 0.645907 0.263427 0.105004 0.544175 0.168775
0.566182 0.146993 0.751667 0.000000 414.381076 5.671528 0.603906 0.308910 0.093593 0.481581 0.168775
0.582607 0.136658 0.709786 0.000000 414.461104 5.695220 0.547022 0.336112 0.085493 0.422789 0.168816
0.595768 0.122034 0.660959 0.000000 414.532276 5.611101 0.470813 0.337588 0.080333 0.368483 0.168816
0.608380 0.123233 0.602462 0.000000 414.602366 5.459607 0.403333 0.307449 0.078462 0.324659 0.168975
0.621779 0.166165 0.545375 0.000000 414.659676 5.256100 0.340526 0.247810 0.080943 0.290816 0.168975
0.635450 0.113880 0.480373 0.000000 414.705844 5.076297 0.288789 0.178641 0.083631 0.259514 0.169008
0.651103 0.104238 0.427631 0.000000 414.771901 4.876753 0.252324 0.114033 0.078558 0.229048 0.169008
0.665426 0.123406 0.393882 0.000000 414.849070 4.707159 0.231770 0.056287 0.069226 0.203747 0.168334
0.679754 0.111040 0.353132 0.000000 414.882381 4.534357 0.232202 0.019893 0.055198 0.179144 0.168334
0.692868 0.127811 0.318891 0.000000 414.920444 4.389414 0.249089 0.003089 0.037955 0.154772 0.168607
0.705584 0.130394 0.287774 0.000000 414.880538 4.254996 0.276169 0.007028 0.020985 0.136068 0.168607
0.719237 0.106235 0.275835 0.000000 414.896575 4.038816 0.327664 0.026892 0.008406 0.127289 0.168574
0.733861 0.099574 0.274169 0.000000 414.913952 3.822250 0.409120 0.059572 0.001856 0.131439 0.168574
0.747008 0.093752 0.284899 0.000000 414.903673 3.567603 0.513966 0.099626 0.001684 0.149087 0.168171
0.759886 0.072278 0.310687 0.000000 414.924156 3.266982 0.645412 0.139260 0.006725 0.177938 0.168171
0.773780 0.068893 0.334519 0.000000 414.955236 2.965384 0.795930 0.167842 0.015291 0.211440 0.167956
0.787310 0.052320 0.354935 0.000000 414.981371 2.601388 0.944753 0.180450 0.023978 0.241057 0.167956
0.806033 0.044504 0.356816 0.000000 415.018020 2.220572 1.091918 0.172370 0.031109 0.258971 0.167823
0.824186 0.039241 0.336259 0.000000 415.050107 1.951254 1.231526 0.146125 0.035613 0.257851 0.167823
0.841789 0.041799 0.295106 0.000000 415.081527 1.726386 1.342687 0.121701 0.035608 0.237459 0.167746
0.854221 0.044654 0.243606 0.000000 415.111796 1.509239 1.414666 0.106576 0.030942 0.202187 0.167746
0.868532 0.044100 0.192830 0.000000 415.126698 1.274215 1.441738 0.093549 0.024513 0.162276 0.167510
0.885669 0.049610 0.151842 0.000000 415.140193 0.973064 1.445012 0.088979 0.017713 0.124379 0.167510
0.900976 0.053526 0.129176 0.000000 415.158972 0.642815 1.427949 0.084913 0.011725 0.093456 0.167245
0.914301 0.056536 0.119379 0.000000 415.159289 0.341521 1.406016 0.079145 0.008491 0.070865 0.167245
0.930845 0.067562 0.121525 0.000000 415.166122 0.140762 1.376981 0.065825 0.010865 0.055899 0.167177
0.947823 0.070645 0.133554 0.000000 415.117195 0.057440 1.364517 0.050001 0.018351 0.047932 0.167177
0.964501 0.095455 0.147928 0.000000 415.060634 0.097103 1.370752 0.036996 0.026915 0.045849 0.167450
0.977893 0.085542 0.163907 0.000000 415.039318 0.207231 1.391754 0.028975 0.032896 0.047274 0.167450
0.991170 0.091354 0.176739 0.000000 414.972445 0.359366 1.440336 0.029459 0.033455 0.051242 0.167953
1.004080 0.116268 0.184310 0.000000 414.903537 0.501862 1.527266 0.041052 0.027436 0.056021 0.167953
1.018751 0.112871 0.189926 0.000000 414.830832 0.640276 1.634007 0.058702 0.018377 0.059814 0.168011
1.031097 0.122525 0.195256 0.000000 414.746058 0.836746 1.765110 0.076163 0.010316 0.062979 0.168011
1.043969 0.137275 0.203094 0.000000 414.668101 1.065177 1.894604 0.083630 0.005078 0.066968 0.167913
1.056367 0.145328 0.213233 0.000000 414.582185 1.337847 2.016190 0.081869 0.002963 0.072224 0.167913
