0.006	0.000	0.000	0.000
0.018	0.000	0.000	0.000
0.029	0.000	0.000	0.000
0.036	0.001	0.000	0.000
0.036	0.005	0.000	0.000
0.034	0.020	0.000	0.000
0.032	0.049	0.000	0.000
0.032	0.084	0.000	0.000
0.030	0.114	0.000	0.000
0.029	0.131	0.000	0.000
0.028	0.137	0.000	0.000
0.029	0.141	0.000	0.000
0.033	0.149	0.000	0.000
0.037	0.154	0.000	0.000
0.037	0.146	0.000	0.001
0.034	0.124	0.000	0.001
0.030	0.099	0.000	0.001
0.028	0.083	0.000	0.001
0.030	0.078	0.000	0.000
0.033	0.073	0.000	0.000
0.032	0.063	0.000	0.000
0.029	0.050	0.000	0.000
0.024	0.041	0.000	0.000
0.020	0.043	0.000	0.000
0.019	0.049	0.000	0.000
0.019	0.050	0.000	0.000
0.019	0.043	0.000	0.000
0.018	0.032	0.000	0.000
0.015	0.024	0.000	0.000
0.012	0.021	0.000	0.000
0.009	0.020	0.000	0.000
0.008	0.019	0.000	0.000
0.009	0.019	0.000	0.000
0.009	0.019	0.000	0.000
0.009	0.019	0.000	0.000
0.007	0.019	0.000	0.000
0.006	0.018	0.000	0.000
0.006	0.015	0.000	0.000
0.007	0.013	0.000	0.000
0.008	0.010	0.000	0.000
0.008	0.009	0.000	0.000
0.009	0.009	0.000	0.000
0.010	0.010	0.000	0.000
0.010	0.013	0.000	0.000
0.009	0.015	0.000	0.000
0.007	0.016	0.000	0.000
0.006	0.015	0.000	0.000
0.006	0.014	0.000	0.000
0.007	0.015	0.000	0.000
0.007	0.018	0.000	0.000
0.008	0.023	0.000	0.000
0.009	0.029	0.000	0.000
0.010	0.035	0.000	0.000
0.011	0.038	0.000	0.000
0.011	0.037	0.000	0.000
0.010	0.034	0.000	0.000
0.010	0.032	0.000	0.000
0.011	0.033	0.000	0.000
0.014	0.034	0.000	0.000
0.018	0.036	0.000	0.000
0.022	0.038	0.000	0.000
0.022	0.041	0.000	0.000
0.019	0.040	0.000	0.000
0.016	0.034	0.000	0.000
0.016	0.027	0.000	0.000
0.020	0.023	0.000	0.000
0.023	0.026	0.000	0.000
0.020	0.035	0.000	0.000
0.013	0.039	0.000	0.000
0.009	0.034	0.000	0.000
0.009	0.024	0.000	0.000
0.012	0.020	0.000	0.000
0.012	0.026	0.000	0.000
0.009	0.040	0.000	0.000
0.005	0.054	0.000	0.000
0.004	0.061	0.000	0.000
0.007	0.060	0.000	0.000
0.009	0.054	0.000	0.000
0.009	0.049	0.000	0.000
0.007	0.046	0.000	0.000
0.008	0.047	0.000	0.000
0.010	0.051	0.000	0.000
0.011	0.054	0.000	0.000
0.012	0.056	0.000	0.000
0.010	0.055	0.000	0.000
0.007	0.054	0.000	0.000
0.006	0.054	0.000	0.000
0.006	0.054	0.000	0.000
0.007	0.047	0.000	0.000
0.008	0.033	0.000	0.000
0.009	0.019	0.000	0.000
0.012	0.010	0.000	0.000
0.016	0.006	0.000	0.000
0.019	0.005	0.000	0.000
0.018	0.005	0.000	0.000
0.017	0.004	0.000	0.000
0.021	0.005	0.000	0.000
0.026	0.005	0.000	0.000
0.029	0.005	0.000	0.000
0.025	0.005	0.000	0.000
0.018	0.005	0.028	0.000
0.014	0.008	0.085	0.000
0.014	0.014	0.146	0.000
0.015	0.019	0.177	0.000
0.015	0.021	0.169	0.000
0.012	0.019	0.145	0.000
0.010	0.014	0.134	0.000
0.010	0.013	0.143	0.000
0.012	0.016	0.157	0.000
0.012	0.021	0.161	0.000
0.010	0.022	0.156	0.000
0.007	0.018	0.153	0.000
0.007	0.011	0.157	0.000
0.007	0.007	0.164	0.000
0.007	0.009	0.167	0.000
0.006	0.013	0.167	0.000
0.004	0.014	0.172	0.000
0.004	0.011	0.185	0.000
0.004	0.005	0.203	0.000
0.005	0.002	0.222	0.000
0.004	0.002	0.240	0.000
0.003	0.003	0.258	0.000
0.003	0.004	0.280	0.000
0.003	0.004	0.304	0.000
0.004	0.003	0.328	0.000
0.003	0.004	0.352	0.000
